Ground Truth,Prediction
0.97,0.6785535194929524
0.513784973,0.7463304452573167
0.26772768,0.08943537121304806
0.850494813,0.6953127732179638
0.79,0.6785535194929524
0.562004166,0.7345953159311407
0.857601164,0.7463304452573167
0.36,0.6785535194929524
0.538800299,0.4188584007879452
0.067104708,0.4188584007879452
0.925891994,0.6953127732179638
1.0,0.6738493728930317
0.214510117,0.25725264043937723
-0.079261497,0.36723895904517356
0.21,0.6785535194929524
0.691213147,0.488974167201132
0.98,0.6785535194929524
0.69,0.6693845770806213
0.0934321,0.35501496686520634
-0.105769498,0.36723895904517356
0.208041284,0.12225173006409226
0.4,0.6693845770806213
0.99,0.6738493728930317
0.800597051,0.6693845770806213
0.28754944,0.25725264043937723
0.51,0.6785535194929524
0.020551866,-0.040841836682570055
0.48,0.6738493728930317
0.83,0.6738493728930317
0.54,0.6738493728930317
0.992115592,0.36723895904517356
0.102381581,0.31492236849130767
0.361401273,0.333560284736934
0.953547354,0.6829074579052339
0.772975129,0.488974167201132
0.347204147,0.36723895904517356
0.348760784,0.20342438444003857
0.64,0.6738493728930317
0.693719653,0.7463304452573167
0.96,0.6693845770806213
0.438354763,0.36723895904517356
0.93903646,0.6953127732179638
0.830883054,0.4893066083034828
0.178880976,0.26056807749083294
0.49,0.6738493728930317
0.31,0.6738493728930317
0.95,0.6785535194929524
0.096907824,0.168676468821618
0.82,0.6738493728930317
0.985757512,0.6953127732179638
0.77698085,0.2714086063976202
1.0,0.7479632825200734
0.8,0.6738493728930317
0.99,0.6738493728930317
0.68,0.6785535194929524
0.3,0.6738493728930317
0.94,0.6785535194929524
0.049537262,0.11534146897262565
1.0,0.6693845770806213
0.424092022,0.488974167201132
0.9,0.6785535194929524
0.77,0.6738493728930317
0.398060462,0.12225173006409226
0.366649767,0.2714086063976202
0.015726875,0.13105505198860815
0.50025325,0.25725264043937723
0.207042073,0.42656358152219553
0.655688194,0.6829074579052339
0.030581878,0.13019243349157608
0.798965419,0.7463304452573167
0.32,0.6738493728930317
0.77,0.6785535194929524
0.294774699,0.6829074579052339
0.58,0.6693845770806213
0.529796976,0.31492236849130767
0.239911336,0.11534146897262565
0.52,0.6738493728930317
0.471145219,0.08943537121304806
-0.018487682,-0.06521713180328105
0.56,0.6738493728930317
0.23,0.6738493728930317
1.0,0.6693845770806213
-0.040410146,-0.06521713180328105
0.68,0.6693845770806213
0.78,0.6693845770806213
0.96,0.6738493728930317
0.01421787,0.09311017182246324
0.98,0.6785535194929524
0.301345158,0.31492236849130767
0.65,0.6785535194929524
-0.16313065,0.09311017182246324
1.0,0.6738493728930317
0.359147365,0.1394182777708308
0.9752189,0.7463304452573167
0.32,0.6693845770806213
0.35,0.6785535194929524
0.123665934,0.6829074579052339
0.148631736,0.029123498859630063
0.46,0.6785535194929524
0.37,0.6785535194929524
0.82,0.6785535194929524
1.0,0.6693845770806213
