Actual,Predicted
[1.0],[0.6193937063217163]
[0.3199999928474426],[0.7125584483146667]
[0.9700000286102295],[0.710311770439148]
[-0.07870351523160934],[0.19910311698913574]
[0.8397089242935181],[0.5818983316421509]
[0.7799999713897705],[0.6193937063217163]
[0.7699999809265137],[0.6193937063217163]
[0.6824687719345093],[0.1990673840045929]
[0.9200000166893005],[0.6193937063217163]
[0.9900000095367432],[0.710311770439148]
[-0.011527840048074722],[0.17851179838180542]
[0.9300000071525574],[0.7125584483146667]
[0.5899999737739563],[0.7125584483146667]
[0.39168670773506165],[0.2290370762348175]
[0.8999999761581421],[0.710311770439148]
[-0.024786273017525673],[-0.06324612349271774]
[0.9704872369766235],[0.5828317403793335]
[0.8899999856948853],[0.710311770439148]
[0.6499999761581421],[0.7125584483146667]
[0.013095094822347164],[0.44603145122528076]
[0.015967870131134987],[0.3822733759880066]
[1.0],[0.7125584483146667]
[0.6278888583183289],[0.5857352614402771]
[0.258116215467453],[0.5807932019233704]
[0.25692155957221985],[0.5814944505691528]
[0.3100000023841858],[0.7125584483146667]
[0.9900000095367432],[0.710311770439148]
[-0.09497498720884323],[0.34963589906692505]
[0.6100000143051147],[0.710311770439148]
[0.4399999976158142],[0.710311770439148]
[0.3100000023841858],[0.7125584483146667]
[0.9399999976158142],[0.710311770439148]
[0.949999988079071],[0.710311770439148]
[0.8299999833106995],[0.710311770439148]
[0.2971929907798767],[0.22626405954360962]
[0.06116873025894165],[0.24314406514167786]
[-0.01835285685956478],[0.23377618193626404]
[-0.0766240581870079],[0.5807932019233704]
[0.7400000095367432],[0.710311770439148]
[0.6299999952316284],[0.6193937063217163]
[0.5229458212852478],[0.6538420915603638]
[0.31057319045066833],[0.19934093952178955]
[0.3695194125175476],[0.2290370762348175]
[0.9700000286102295],[0.710311770439148]
[0.6700000166893005],[0.6193937063217163]
[0.7146219611167908],[0.23377618193626404]
[0.8679154515266418],[0.253811776638031]
[0.9964784979820251],[0.5828317403793335]
[0.7282687425613403],[0.5814944505691528]
[0.1604253351688385],[0.19827991724014282]
[0.8299999833106995],[0.7125584483146667]
[0.9399999976158142],[0.7125584483146667]
[1.0],[0.7125584483146667]
[0.7606449723243713],[0.5599658489227295]
[0.38143190741539],[0.5599658489227295]
[0.4870075285434723],[0.5814944505691528]
[-0.015775371342897415],[0.20496749877929688]
[0.20999999344348907],[0.6193937063217163]
[-0.15323445200920105],[0.1988506317138672]
[0.8799999952316284],[0.6193937063217163]
[0.007764180190861225],[0.19827991724014282]
